date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:35	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202017%2013:00:34%20GMT	http://light.pinsupreme.com/robots.txt		(from )
13:00:35	19113/19113	---MCZ	200	added ('OK')	text/html	etag:W/%2259000079-4aa9%22	http://light.pinsupreme.com/	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/index.html	(from )
13:00:36	1591/1591	---M--	200	added ('OK')	image/png	etag:%2258eef0b9-637%22	http://light.pinsupreme.com/favicon.png	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/favicon.png	(from http://light.pinsupreme.com/)
13:00:36	1591/1591	---M--	200	added ('OK')	image/png	etag:%2258eef0b8-637%22	http://light.pinsupreme.com/apple-touch-icon.png	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/apple-touch-icon.png	(from http://light.pinsupreme.com/)
13:00:36	15196/15196	---M--	200	added ('OK')	text/css	etag:%2258eef0b9-3b5c%22	http://light.pinsupreme.com/bower_components/select2/dist/css/select2.min.css	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/bower_components/select2/dist/css/select2.min.css	(from http://light.pinsupreme.com/)
13:00:36	8623/8623	---M-Z	200	added ('OK')	text/css	etag:%221236484612+gzip%22	http://fast.fonts.net/cssapi/175a63a1-3f26-476a-ab32-4e21cbdb8be2.css	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/fast.fonts.net/cssapi/175a63a1-3f26-476a-ab32-4e21cbdb8be2.css	(from http://light.pinsupreme.com/)
13:00:37	8163/8163	---M--	200	added ('OK')	text/css	etag:%2258eef0b8-1fe3%22	http://light.pinsupreme.com/bower_components/bootstrap-daterangepicker/daterangepicker.css	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/bower_components/bootstrap-daterangepicker/daterangepicker.css	(from http://light.pinsupreme.com/)
13:00:37	12587/12587	---M--	200	added ('OK')	text/css	etag:%2258eef0b9-312b%22	http://light.pinsupreme.com/bower_components/dropzone/dist/dropzone.css	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/bower_components/dropzone/dist/dropzone.css	(from http://light.pinsupreme.com/)
13:00:37	13587/13587	---M--	200	added ('OK')	text/css	etag:%2258eef0b9-3513%22	http://light.pinsupreme.com/bower_components/datatables/media/css/jquery.dataTables.min.css	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/bower_components/datatables/media/css/jquery.dataTables.min.css	(from http://light.pinsupreme.com/)
13:00:38	4789/4789	---M--	200	added ('OK')	text/css	etag:%2258eef0b9-12b5%22	http://light.pinsupreme.com/bower_components/datatables/media/css/dataTables.bootstrap4.min.css	C:/Users/TRUNGDOAN/Desktop/theme/ttpcn/light.pinsupreme.com/bower_components/datatables/media/css/dataTables.bootstrap4.min.css	(from http://light.pinsupreme.com/)
